timestamp,city,club,address,occupancy
2026-08-08T02:09:43Z,Šiaulių klubai,Šiaulių Akropolis,Aido g. 8; Šiauliai,0
2026-08-08T02:09:43Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-08-08T02:09:43Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,0
2026-08-08T02:09:43Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,100
2026-08-08T02:09:43Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,1
2026-08-08T02:09:43Z,Kauno klubai,Raudondvaris,Raudondvario pl. 169b; Kaunas,0
2026-08-08T02:09:43Z,Vilniaus klubai,Pilaitė,Vydūno g. 2; Vilnius,0
2026-08-08T02:09:43Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,0
2026-08-08T02:09:43Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-08-08T02:09:43Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,1
2026-08-08T02:09:43Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,100
2026-08-08T02:09:43Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,1
2026-08-08T02:09:43Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-08-08T02:09:43Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,100
2026-08-08T02:09:43Z,Vilniaus klubai,Riešė - jau rugsėjį🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-08-08T02:09:43Z,Vilniaus klubai,Vilniaus Žalgiris,Žalgirio g. 92; Vilnius,0
2026-08-08T02:09:43Z,Vilniaus klubai,Vilniaus Akropolis,Ozo g. 25; Vilnius,100
2026-08-08T02:09:43Z,Vilniaus klubai,Pikas,Ukmergės g. 221; Vilnius,100
2026-08-08T02:09:43Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-08-08T03:42:54Z,Šiaulių klubai,Šiaulių Akropolis,Aido g. 8; Šiauliai,1
2026-08-08T03:42:54Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,2
2026-08-08T03:42:54Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,1
2026-08-08T03:42:54Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-08-08T03:42:54Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,2
2026-08-08T03:42:54Z,Kauno klubai,Raudondvaris,Raudondvario pl. 169b; Kaunas,3
2026-08-08T03:42:54Z,Vilniaus klubai,Pilaitė,Vydūno g. 2; Vilnius,1
2026-08-08T03:42:54Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,2
2026-08-08T03:42:54Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,2
2026-08-08T03:42:54Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,2
2026-08-08T03:42:54Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-08-08T03:42:54Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,1
2026-08-08T03:42:54Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,1
2026-08-08T03:42:54Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,1
2026-08-08T03:42:54Z,Vilniaus klubai,Riešė - jau rugsėjį🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-08-08T03:42:54Z,Vilniaus klubai,Vilniaus Žalgiris,Žalgirio g. 92; Vilnius,1
2026-08-08T03:42:54Z,Vilniaus klubai,Vilniaus Akropolis,Ozo g. 25; Vilnius,1
2026-08-08T03:42:54Z,Vilniaus klubai,Pikas,Ukmergės g. 221; Vilnius,2
2026-08-08T03:42:54Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,1
2026-08-08T04:39:57Z,Šiaulių klubai,Šiaulių Akropolis,Aido g. 8; Šiauliai,1
2026-08-08T04:39:57Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,4
2026-08-08T04:39:57Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,1
2026-08-08T04:39:57Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-08-08T04:39:57Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,2
2026-08-08T04:39:57Z,Kauno klubai,Raudondvaris,Raudondvario pl. 169b; Kaunas,6
2026-08-08T04:39:57Z,Vilniaus klubai,Pilaitė,Vydūno g. 2; Vilnius,3
2026-08-08T04:39:57Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,3
2026-08-08T04:39:57Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,3
2026-08-08T04:39:57Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,4
2026-08-08T04:39:57Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-08-08T04:39:57Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,1
2026-08-08T04:39:57Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-08-08T04:39:57Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,2
2026-08-08T04:39:57Z,Vilniaus klubai,Riešė - jau rugsėjį🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-08-08T04:39:57Z,Vilniaus klubai,Vilniaus Žalgiris,Žalgirio g. 92; Vilnius,4
2026-08-08T04:39:57Z,Vilniaus klubai,Vilniaus Akropolis,Ozo g. 25; Vilnius,2
2026-08-08T04:39:57Z,Vilniaus klubai,Pikas,Ukmergės g. 221; Vilnius,4
2026-08-08T04:39:57Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,3
2026-08-08T05:26:56Z,Šiaulių klubai,Šiaulių Akropolis,Aido g. 8; Šiauliai,1
2026-08-08T05:26:56Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,7
2026-08-08T05:26:56Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,2
2026-08-08T05:26:56Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,1
2026-08-08T05:26:56Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,4
2026-08-08T05:26:56Z,Kauno klubai,Raudondvaris,Raudondvario pl. 169b; Kaunas,10
2026-08-08T05:26:56Z,Vilniaus klubai,Pilaitė,Vydūno g. 2; Vilnius,4
2026-08-08T05:26:56Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,4
2026-08-08T05:26:56Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,5
2026-08-08T05:26:56Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,5
2026-08-08T05:26:56Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,3
2026-08-08T05:26:56Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,1
2026-08-08T05:26:56Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,2
2026-08-08T05:26:56Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,3
2026-08-08T05:26:56Z,Vilniaus klubai,Riešė - jau rugsėjį🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-08-08T05:26:56Z,Vilniaus klubai,Vilniaus Žalgiris,Žalgirio g. 92; Vilnius,7
2026-08-08T05:26:56Z,Vilniaus klubai,Vilniaus Akropolis,Ozo g. 25; Vilnius,3
2026-08-08T05:26:56Z,Vilniaus klubai,Pikas,Ukmergės g. 221; Vilnius,6
2026-08-08T05:26:56Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,4
2026-08-08T06:07:51Z,Šiaulių klubai,Šiaulių Akropolis,Aido g. 8; Šiauliai,3
2026-08-08T06:07:51Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,8
2026-08-08T06:07:51Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,3
2026-08-08T06:07:51Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,2
2026-08-08T06:07:51Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,6
2026-08-08T06:07:51Z,Kauno klubai,Raudondvaris,Raudondvario pl. 169b; Kaunas,18
2026-08-08T06:07:51Z,Vilniaus klubai,Pilaitė,Vydūno g. 2; Vilnius,6
2026-08-08T06:07:51Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,6
2026-08-08T06:07:51Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,6
