timestamp,city,club,address,occupancy
2026-06-06T00:09:26Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,0
2026-06-06T00:09:26Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-06-06T00:09:26Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,2
2026-06-06T00:09:26Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,1
2026-06-06T00:09:26Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,2
2026-06-06T00:09:26Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,1
2026-06-06T00:09:26Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,1
2026-06-06T00:09:26Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,1
2026-06-06T00:09:26Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,2
2026-06-06T00:09:26Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,0
2026-06-06T00:09:26Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-06-06T00:09:26Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,1
2026-06-06T00:09:26Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,1
2026-06-06T00:09:26Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,0
2026-06-06T00:09:26Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-06-06T00:09:26Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,2
2026-06-06T00:09:26Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,1
2026-06-06T00:09:26Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,1
2026-06-06T00:09:26Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,1
2026-06-06T01:17:00Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-06-06T01:17:00Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,0
2026-06-06T01:17:00Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,0
2026-06-06T01:17:00Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,1
2026-06-06T01:17:00Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,1
2026-06-06T01:17:00Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,1
2026-06-06T01:17:00Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,1
2026-06-06T01:17:00Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,0
2026-06-06T01:17:00Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,0
2026-06-06T01:17:00Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,0
2026-06-06T01:17:00Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-06-06T01:17:00Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-06-06T01:17:00Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-06-06T01:17:00Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,100
2026-06-06T01:17:00Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-06-06T01:17:00Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,0
2026-06-06T01:17:00Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,0
2026-06-06T01:17:00Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,100
2026-06-06T01:17:00Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,100
2026-06-06T02:21:45Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,0
2026-06-06T02:21:45Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,0
2026-06-06T02:21:45Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,0
2026-06-06T02:21:45Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,1
2026-06-06T02:21:45Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,1
2026-06-06T02:21:45Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,1
2026-06-06T02:21:45Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,1
2026-06-06T02:21:45Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,0
2026-06-06T02:21:45Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,100
2026-06-06T02:21:45Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,1
2026-06-06T02:21:45Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,1
2026-06-06T02:21:45Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-06-06T02:21:45Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-06-06T02:21:45Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,0
2026-06-06T02:21:45Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-06-06T02:21:45Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,0
2026-06-06T02:21:45Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,0
2026-06-06T02:21:45Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,0
2026-06-06T02:21:45Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-06-06T03:47:00Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,1
2026-06-06T03:47:00Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-06-06T03:47:00Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,2
2026-06-06T03:47:00Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,1
2026-06-06T03:47:00Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,2
2026-06-06T03:47:00Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,3
2026-06-06T03:47:00Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,2
2026-06-06T03:47:00Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,1
2026-06-06T03:47:00Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-06-06T03:47:00Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,2
2026-06-06T03:47:00Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,2
2026-06-06T03:47:00Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-06-06T03:47:00Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-06-06T03:47:00Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,1
2026-06-06T03:47:00Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-06-06T03:47:00Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,2
2026-06-06T03:47:00Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,1
2026-06-06T03:47:00Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,1
2026-06-06T03:47:00Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,1
2026-06-06T05:22:32Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,2
2026-06-06T05:22:32Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,6
2026-06-06T05:22:32Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,4
2026-06-06T05:22:32Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,3
2026-06-06T05:22:32Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,6
2026-06-06T05:22:32Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,7
2026-06-06T05:22:32Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,6
2026-06-06T05:22:32Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,3
2026-06-06T05:22:32Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,4
2026-06-06T05:22:32Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,6
2026-06-06T05:22:32Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,4
2026-06-06T05:22:32Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,2
2026-06-06T05:22:32Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,2
2026-06-06T05:22:32Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,3
2026-06-06T05:22:32Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-06-06T05:22:32Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,7
2026-06-06T05:22:32Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,3
2026-06-06T05:22:32Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,7
2026-06-06T05:22:32Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,4
2026-06-06T06:38:40Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,5
2026-06-06T06:38:40Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,11
2026-06-06T06:38:40Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,8
2026-06-06T06:38:40Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,8
2026-06-06T06:38:40Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,10
2026-06-06T06:38:40Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,16
2026-06-06T06:38:40Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,9
2026-06-06T06:38:40Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,6
2026-06-06T06:38:40Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,7
2026-06-06T06:38:40Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,8
2026-06-06T06:38:40Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,9
2026-06-06T06:38:40Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,3
2026-06-06T06:38:40Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,8
2026-06-06T06:38:40Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,7
2026-06-06T06:38:40Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-06-06T06:38:40Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,18
2026-06-06T06:38:40Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,8
2026-06-06T06:38:40Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,16
2026-06-06T06:38:40Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,16
2026-06-06T06:38:40Z,Kauno klubai,Kauno Žalgirio baseinas,Karaliaus Mindaugo pr. 50; Kaunas,19
2026-06-06T07:41:17Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,10
2026-06-06T07:41:17Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,20
2026-06-06T07:41:17Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,11
2026-06-06T07:41:17Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,13
2026-06-06T07:41:17Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,12
2026-06-06T07:41:17Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,22
2026-06-06T07:41:17Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,12
2026-06-06T07:41:17Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,7
2026-06-06T07:41:17Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,11
2026-06-06T07:41:17Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,10
2026-06-06T07:41:17Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,12
2026-06-06T07:41:17Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,8
2026-06-06T07:41:17Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,14
2026-06-06T07:41:17Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,20
2026-06-06T07:41:17Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-06-06T07:41:17Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,25
2026-06-06T07:41:17Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,19
2026-06-06T07:41:17Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,25
2026-06-06T07:41:17Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,21
2026-06-06T07:41:17Z,Kauno klubai,Kauno Žalgirio baseinas,Karaliaus Mindaugo pr. 50; Kaunas,38
2026-06-06T08:40:29Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,12
