timestamp,city,club,address,occupancy
2026-07-11T01:01:23Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,100
2026-07-11T01:01:23Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-07-11T01:01:23Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,1
2026-07-11T01:01:23Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-07-11T01:01:23Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,1
2026-07-11T01:01:23Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,1
2026-07-11T01:01:23Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,1
2026-07-11T01:01:23Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,1
2026-07-11T01:01:23Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,0
2026-07-11T01:01:23Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,0
2026-07-11T01:01:23Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,0
2026-07-11T01:01:23Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-07-11T01:01:23Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-07-11T01:01:23Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,1
2026-07-11T01:01:23Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-07-11T01:01:23Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,1
2026-07-11T01:01:23Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,100
2026-07-11T01:01:23Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,100
2026-07-11T01:01:23Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,0
2026-07-11T04:28:24Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,2
2026-07-11T04:28:24Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,5
2026-07-11T04:28:24Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,2
2026-07-11T04:28:24Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,2
2026-07-11T04:28:24Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,3
2026-07-11T04:28:24Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,4
2026-07-11T04:28:24Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,2
2026-07-11T04:28:24Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,2
2026-07-11T04:28:24Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,3
2026-07-11T04:28:24Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,3
2026-07-11T04:28:24Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,2
2026-07-11T04:28:24Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,1
2026-07-11T04:28:24Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,1
2026-07-11T04:28:24Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,2
2026-07-11T04:28:24Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-07-11T04:28:24Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,4
2026-07-11T04:28:24Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,2
2026-07-11T04:28:24Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,4
2026-07-11T04:28:24Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,2
2026-07-11T06:37:35Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,4
2026-07-11T06:37:35Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,8
2026-07-11T06:37:35Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,6
2026-07-11T06:37:35Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,5
2026-07-11T06:37:35Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,7
2026-07-11T06:37:35Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,22
2026-07-11T06:37:35Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,8
2026-07-11T06:37:35Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,5
2026-07-11T06:37:35Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,8
2026-07-11T06:37:35Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,9
2026-07-11T06:37:35Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,7
2026-07-11T06:37:35Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,3
2026-07-11T06:37:35Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,7
2026-07-11T06:37:35Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,8
2026-07-11T06:37:35Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-07-11T06:37:35Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,14
2026-07-11T06:37:35Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,9
2026-07-11T06:37:35Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,16
2026-07-11T06:37:35Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,12
2026-07-11T06:37:35Z,Kauno klubai,Kauno Žalgirio baseinas,Karaliaus Mindaugo pr. 50; Kaunas,20
2026-07-11T08:28:28Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,13
2026-07-11T08:28:28Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,25
2026-07-11T08:28:28Z,Kauno klubai,Savanoriai,Savanorių pr. 168; Kaunas,8
2026-07-11T08:28:28Z,Kauno klubai,Kauno Žalgirio arena,Karaliaus Mindaugo pr. 50; Kaunas,14
2026-07-11T08:28:28Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,14
2026-07-11T08:28:28Z,Kauno klubai,Raudondvaris - naujas,Raudondvario pl. 169b; Kaunas,38
2026-07-11T08:28:28Z,Vilniaus klubai,Pilaitė (atnaujintas),Vydūno g. 2; Vilnius,13
2026-07-11T08:28:28Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,10
2026-07-11T08:28:28Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,17
2026-07-11T08:28:28Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,14
2026-07-11T08:28:28Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,12
2026-07-11T08:28:28Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,14
2026-07-11T08:28:28Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,17
2026-07-11T08:28:28Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,28
2026-07-11T08:28:28Z,Vilniaus klubai,Riešė - jau greitai 🔜,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-07-11T08:28:28Z,Vilniaus klubai,Vilniaus Žalgiris - naujas,Žalgirio g. 92; Vilnius,36
2026-07-11T08:28:28Z,Vilniaus klubai,Vilniaus Akropolis - naujas,Ozo g. 25; Vilnius,30
2026-07-11T08:28:28Z,Vilniaus klubai,Pikas - naujas,Ukmergės g. 221; Vilnius,27
2026-07-11T08:28:28Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,23
2026-07-11T08:28:28Z,Kauno klubai,Kauno Žalgirio baseinas,Karaliaus Mindaugo pr. 50; Kaunas,40
2026-07-11T10:02:08Z,Šiaulių klubai,Šiaulių Akropolis - naujas,Aido g. 8; Šiauliai,16
