timestamp,city,club,address,occupancy
2026-09-18T00:38:45Z,Šiaulių klubai,Šiaulių Akropolis,Aido g. 8; Šiauliai,100
2026-09-18T00:38:45Z,Kauno klubai,Raudondvaris,Raudondvario pl. 169b; Kaunas,1
2026-09-18T00:38:45Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,1
2026-09-18T00:38:45Z,Kauno klubai,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,Savanorių pr. 168; Kaunas,0
2026-09-18T00:38:45Z,Kauno klubai,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,Karaliaus Mindaugo pr. 50; Kaunas,0
2026-09-18T00:38:45Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,100
2026-09-18T00:38:45Z,Vilniaus klubai,Saulėtekis - jau lapkritį 🔜,Saulėtekio al. 17; Vilnius,100
2026-09-18T00:38:45Z,Vilniaus klubai,Riešė - nuo 09.29🥳,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-09-18T00:38:45Z,Vilniaus klubai,Vilniaus Žalgiris,Žalgirio g. 92; Vilnius,1
2026-09-18T00:38:45Z,Vilniaus klubai,Vilniaus Akropolis,Ozo g. 25; Vilnius,0
2026-09-18T00:38:45Z,Vilniaus klubai,Pikas,Ukmergės g. 221; Vilnius,0
2026-09-18T00:38:45Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,1
2026-09-18T00:38:45Z,Vilniaus klubai,Pilaitė,Vydūno g. 2; Vilnius,100
2026-09-18T00:38:45Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,100
2026-09-18T00:38:45Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,1
2026-09-18T00:38:45Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,0
2026-09-18T00:38:45Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,100
2026-09-18T00:38:45Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,0
2026-09-18T00:38:45Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,0
2026-09-18T00:38:45Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,1
2026-09-18T05:14:06Z,Šiaulių klubai,Šiaulių Akropolis,Aido g. 8; Šiauliai,7
2026-09-18T05:14:06Z,Kauno klubai,Raudondvaris,Raudondvario pl. 169b; Kaunas,22
2026-09-18T05:14:06Z,Kauno klubai,Šilainiai,Baltų pr. 16; Kaunas,14
2026-09-18T05:14:06Z,Kauno klubai,Savanoriai – ĮKRAUTAS NAUJAI nuo 09.21🔋,Savanorių pr. 168; Kaunas,3
2026-09-18T05:14:06Z,Kauno klubai,Kauno Žalgirio arena - ĮKRAUTAS NAUJAI🔋,Karaliaus Mindaugo pr. 50; Kaunas,14
2026-09-18T05:14:06Z,Kauno klubai,Urmas,Pramonės pr. 16; Kaunas,12
2026-09-18T05:14:06Z,Vilniaus klubai,Saulėtekis - jau lapkritį 🔜,Saulėtekio al. 17; Vilnius,100
2026-09-18T05:14:06Z,Vilniaus klubai,Riešė - nuo 09.29🥳,Molėtų g. 13; Didžioji Riešė; Vilniaus r.,100
2026-09-18T05:14:06Z,Vilniaus klubai,Vilniaus Žalgiris,Žalgirio g. 92; Vilnius,20
2026-09-18T05:14:06Z,Vilniaus klubai,Vilniaus Akropolis,Ozo g. 25; Vilnius,16
2026-09-18T05:14:06Z,Vilniaus klubai,Pikas,Ukmergės g. 221; Vilnius,13
2026-09-18T05:14:06Z,Vilniaus klubai,Asanavičiūtė,L. Asanavičiūtės g. 15; Vilnius,11
2026-09-18T05:14:06Z,Vilniaus klubai,Pilaitė,Vydūno g. 2; Vilnius,10
2026-09-18T05:14:06Z,Vilniaus klubai,Antakalnis,Antakalnio g. 37; Vilnius,8
2026-09-18T05:14:06Z,Vilniaus klubai,Ateities,Ateities g. 31b; Vilnius,13
2026-09-18T05:14:06Z,Vilniaus klubai,Perkūnkiemis,Perkūnkiemio g. 4; Vilnius,8
2026-09-18T05:14:06Z,Vilniaus klubai,Banginis,P. Lukšio g. 34; Vilnius,10
2026-09-18T05:14:06Z,Vilniaus klubai,Europa,Konstitucijos pr. 7A; Vilnius,8
2026-09-18T05:14:06Z,Vilniaus klubai,Vienuolis,Vienuolio g. 4,7
2026-09-18T05:14:06Z,Vilniaus klubai,Skraja,Naugarduko g. 55a; Vilnius,12
2026-09-18T05:14:06Z,Kauno klubai,Kauno Žalgirio baseinas,Karaliaus Mindaugo pr. 50; Kaunas,11
